dataset,participant_id,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,53,Pointwise-D,2.804243641462274,18.108921076730205,0.941006600660066,0.0,1.0,0.9688531228982392,0.9991892136872816,0.544541974856212,0.5616830114838146,0.9992202729044836,1.0,0.905945069613867
Autism,53,STRATUS-D,2.9910213361137807,19.348850719938525,0.941006600660066,0.0,1.0,0.9913999480865844,0.9991892136872816,0.3556809835712493,0.3556809835712493,0.9992202729044836,1.0,0.869254029069023
Autism,58,STRATUS-H,3.1484338032478147,21.46397881542918,0.940956340956341,0.0,1.0,0.9194924370565648,0.9892831607753853,0.7150136622897032,0.7150136622897032,1.0,1.0,0.9247578520243308
Autism,58,Hybrid-P,3.8805933746345262,22.567046116840302,0.940956340956341,0.0,1.0,0.8479245121534797,0.9674561056999084,0.725450709702179,0.725450709702179,1.0,1.0,0.9081662655111132
Autism,58,Pointwise-D,3.1369992246015443,23.96462184148318,0.940956340956341,0.0,1.0,0.9591904010463004,0.9979986245514968,0.508701295644777,0.508701295644777,1.0,1.0,0.8931780642485148
Autism,58,STRATUS-D,3.6165172104168906,28.535032647438875,0.940956340956341,0.0,1.0,0.9533386216935582,0.9979986245514968,0.3856804933128733,0.3856804933128733,1.0,1.0,0.8674035479115856
Autism,Unidentified(Pos),STRATUS-H,8.404437115625951,35.00373019474564,0.941006600660066,0.0,1.0,0.8081875612456402,0.6121176618395044,0.5945753353640245,0.5945753353640245,0.6901450309028855,1.0,0.8029761116898338
Autism,Unidentified(Pos),Hybrid-P,8.726141142459603,35.19724279987644,0.941006600660066,0.0,1.0,0.796160055831065,0.5934350063297202,0.6212143564233354,0.6212143564233354,0.6845151676391399,1.0,0.8021618837168241
Autism,Unidentified(Pos),Pointwise-D,7.20612055095794,35.68257417114393,0.941006600660066,0.0,1.0,0.8979961699498126,0.646680245976484,0.526048465641629,0.526048465641629,0.6905180602812142,1.0,0.8141449763135851
Autism,Unidentified(Pos),STRATUS-D,7.428927923549994,36.40362204568416,0.941006600660066,0.0,1.0,0.9105758497502796,0.640867999858087,0.4020608280936529,0.4020608280936529,0.6803659902640291,1.0,0.7907009355404039
ETDD70,1003,STRATUS-H,0.8025894954652121,4.505753398205508,0.9407925407925408,0.0,1.0,0.9930181361883648,0.9997209595507544,0.7441802308422354,0.7441802308422354,1.0,1.0,0.9473838653162708
ETDD70,1003,Hybrid-P,0.823936483447749,4.731514945939076,0.9407925407925408,0.0,1.0,0.9834718318039074,0.9962875869470592,0.7413970780181073,0.7413970780181073,1.0,1.0,0.9442312993538148
ETDD70,1003,Pointwise-D,1.3175671045841697,9.348040902957502,0.9407925407925408,0.0,1.0,0.9490399402735684,0.99799873695906,0.6375281686483601,0.6375281686483601,1.0,1.0,0.9169133691761976
ETDD70,1003,STRATUS-D,1.8132483653838016,15.047377166379311,0.9407925407925408,0.0,1.0,0.90863729124681,0.9980384315975068,0.5030245702262474,0.5030245702262474,1.0,1.0,0.8819400586141128
ETDD70,1033,STRATUS-H,0.3014706743844251,2.056835604756634,0.9407925407925408,0.0,1.0,0.9859959538566152,0.9994674771120768,0.7503826245630578,0.7503826245630578,1.0,1.0,0.94716921110635
ETDD70,1033,Hybrid-P,0.2855767962950254,1.730776309690742,0.9407925407925408,0.0,1.0,0.9949726876785708,0.9974536922327052,0.7473638406646997,0.7473638406646997,1.0,1.0,0.9479580441151952
ETDD70,1033,Pointwise-D,0.7909302736150856,7.52562333283537,0.9407925407925408,0.0,1.0,0.9459847172520172,0.9978835802694268,0.6523291044495512,0.6523291044495512,1.0,1.0,0.919239480394199
ETDD70,1033,STRATUS-D,1.311413702036949,13.516666686367993,0.9407925407925408,0.0,1.0,0.8550492944161714,0.9979232275816504,0.520445947358418,0.520445947358418,1.0,1.0,0.874683693871248
ETDD70,1038,STRATUS-H,0.5606057671240999,3.45193941205719,0.9407925407925408,0.0,1.0,0.9841645027516336,0.998413556706766,0.7489930643142908,0.7489930643142908,1.0,1.0,0.946314224754538
ETDD70,1038,Hybrid-P,0.5656289153694514,3.401925843161751,0.9407925407925408,0.0,1.0,0.9797165786188692,0.995873816094518,0.744006035655971,0.744006035655971,1.0,1.0,0.9439192860738717
ETDD70,1038,Pointwise-D,1.0794488007905871,8.931153873164966,0.9407925407925408,0.0,1.0,0.9555992008921602,0.9985174642975216,0.6216293698181129,0.6219204408968017,1.0,1.0,0.9152074212172968
ETDD70,1038,STRATUS-D,1.5356326104088114,14.468512801247412,0.9407925407925408,0.0,1.0,0.9080189335376124,0.998557123581569,0.5005021092317401,0.5007915926380696,1.0,1.0,0.8814735299514501
